Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C15, C18, C19, C21, C22, C23, C24, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C44, C45, C5, C7, C9",0805,28,100n,
"C10, C12, C17, C2, C20, C4, C6",0805,7,1200p,
C13,0805,1,1.2n,
"C16, C27, C28, C3, C8",0805,5,100p,
"C25, C26",0805,2,10uF,
"C42, C43",0805,2,22u,
D1,D_SOD-123,1,1N5819,
D2,D_SOD-123,1,D_Schottky,
"IC1, IC2",SOIC-16_3.9x9.9mm_P1.27mm,2,SSI2164,
J1,PinHeader_1x02_P2.54mm_Vertical,1,2164_CV,
J10,PinHeader_1x01_P2.54mm_Vertical,1,2164_IN,
J11,PinHeader_1x01_P2.54mm_Vertical,1,SLEW_CV,
J12,PinHeader_1x01_P2.54mm_Vertical,1,2164_CTL,
J13,PinHeader_1x01_P2.54mm_Vertical,1,2164_OUT,
J14,PinHeader_1x01_P2.54mm_Vertical,1,INTEGRATOR_IN,
J15,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,COMP_CTL_A,
J16,PinHeader_1x01_P2.00mm_Vertical,1,HIGH_COMP,
J17,PinHeader_1x01_P2.00mm_Vertical,1,LOW_COMP,
J18,PinHeader_1x02_P2.54mm_Vertical,1,INTEGRATOR,
J19,PinHeader_1x01_P2.00mm_Vertical,1,OUTPUT,
J2,PinHeader_1x01_P2.54mm_Vertical,1,5VREF,
J20,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,COMP_CTL_B,
J21,PinHeader_1x01_P2.54mm_Vertical,1,INV_SLOPE,
J22,PinHeader_1x01_P2.54mm_Vertical,1,SLOPE,
J23,PinHeader_2x05_P2.54mm_Vertical,1,POWER,
J24,PinHeader_1x01_P2.54mm_Vertical,1,SYNC,
J25,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,TRIGGER,
J26,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,SYNC,
J27,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RISE,
J28,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,FALL,
J29,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,INA,
J3,PinHeader_1x01_P2.54mm_Vertical,1,EXPO_IN,
J30,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,INB,
J31,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUTPUT,
J32,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,DIRECTION,
J33,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,EOC,
J34,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,SLOPE,
J35,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CLK/2,
J36,PinHeader_1x01_P2.54mm_Vertical,1,FALL_SUM,
J37,PinHeader_1x01_P2.54mm_Vertical,1,RISE_SUM,
J39,PinHeader_1x01_P2.54mm_Vertical,1,2.5VREF,
J4,PinHeader_1x01_P2.54mm_Vertical,1,FF_TRIGGER,
J40,PinHeader_1x01_P2.54mm_Vertical,1,SLOPE_FREQ_MOD,
J41,PinHeader_1x01_P2.54mm_Vertical,1,INA,
J42,PinHeader_1x01_P2.54mm_Vertical,1,INB,
J43,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J44,PinHeader_1x01_P2.54mm_Vertical,1,EXTRA_SW_B,
J45,PinHeader_1x01_P2.54mm_Vertical,1,EXTRA_SW_C,
J46,PinHeader_1x01_P2.54mm_Vertical,1,LOGIC_S1,
J47,PinHeader_1x01_P2.54mm_Vertical,1,LOGIC_S2,
J48,PinHeader_1x01_P2.54mm_Vertical,1,LOGIC_S3,
J49,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J5,PinHeader_1x01_P2.54mm_Vertical,1,ONESHOT_OR_RETRIG,
J50,PinHeader_1x01_P2.54mm_Vertical,1,1V/OCT,
J6,PinHeader_1x01_P2.54mm_Vertical,1,TRIGGER,
J7,PinHeader_1x01_P2.54mm_Vertical,1,EOC,
J8,PinHeader_1x01_P2.54mm_Vertical,1,HOLD_REF,
J9,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,INPUT,
"JP1, JP2, JP3, JP4, JP5, JP6",PinHeader_1x02_P2.54mm_Vertical,6,Jumper_2_Open,
Q1,SOT-23,1,MMBFJ112,
Q2,SOT-23-3,1,PNP,
R1,0805,1,840,
"R10, R40, R41, R5",0805,4,1M,
"R11, R12, R13, R14, R15, R16, R3, R34, R4, R42, R46, R51, R57, R58, R59, R61, R62, R63, R64, R66, R67, R68, R69, R71, R76, R77, R78, R79, R80",0805,29,100k,
"R17, R2, R22, R23, R36, R43, R44, R45, R48, R65, R70, R8",0805,12,10k,
"R18, R19, R20, R21",0805,4,100k 1%,
R24,0805,1,1.69M,
R25,0805,1,200,
R26,0805,1,47.5k,
"R27, R28, R29, R30, R35, R47, R49",0805,7,33k,
"R31, R32, R37, R39, R53, R56, R9",0805,7,220,
R33,0805,1,500K,
"R38, R54",0805,2,4.7k,
"R50, R60, R72, R73, R74, R75",0805,6,1k,
"R52, R55",0805,2,50k,
R6,0805,1,339,
R7,0805,1,100,
RV1,Potentiometer_Bourns_TC33X_Vertical,1,10k,
"RV2, RV3",Potentiometer_TT_P0915N,2,10k,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC74,
"U11, U14, U15, U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,5,OPA1678,
"U12, U13",SOIC-8_3.9x4.9mm_P1.27mm,2,LM311,
"U16, U19, U3",TSSOP-16_4.4x5mm_P0.65mm,3,TMUX4053PWR,
U18,SOT-223-3_TabPin2,1,AMS1117-5.0,
U2,SOT-23,1,LM4040DBZ-5,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,LM339,
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,OPA1679,
